r11	r22	rs1	rs2	passage	species	df	mutuallyInvasible	lowAbundance	1:1000	1000:1	doseDependence	uniqueRatio	sharedRatio
0.05	0.5	0.5	0.05	1	1	alldata	TRUE	FALSE	0.888218076891437	0.917072111108382	1.03248530396716	10	0.1
0.2	0.5	0.5	0.05	1	1	alldata	TRUE	FALSE	0.889817739561754	0.917072290826635	1.03062936380466	2.5	0.1
0.35	0.5	0.5	0.05	1	1	alldata	TRUE	FALSE	0.891171948489022	0.917072471434172	1.02906344055046	1.42857142857143	0.1
0.5	0.5	0.5	0.05	1	1	alldata	TRUE	FALSE	0.892356009302431	0.917072601984165	1.02769812992132	1	0.1
0.65	0.5	0.5	0.05	1	1	alldata	TRUE	FALSE	0.893400940916398	0.917072716916434	1.02649625147669	0.769230769230769	0.1
0.8	0.5	0.5	0.05	1	1	alldata	TRUE	FALSE	0.89433232852839	0.917072804624768	1.02542732200433	0.625	0.1
0.95	0.5	0.5	0.05	1	1	alldata	TRUE	FALSE	0.89516889539782	0.917072910711272	1.0244691425563	0.526315789473684	0.1
0.05	0.65	0.5	0.05	1	1	alldata	TRUE	FALSE	0.882704541339137	0.917071589664418	1.03893380708469	13	0.1
0.2	0.65	0.5	0.05	1	1	alldata	TRUE	FALSE	0.884797084382984	0.917071820925458	1.03647699242248	3.25	0.1
0.35	0.65	0.5	0.05	1	1	alldata	TRUE	FALSE	0.886566824905065	0.917072026281952	1.03440823694272	1.85714285714286	0.1
0.5	0.65	0.5	0.05	1	1	alldata	TRUE	FALSE	0.888102913211738	0.91707217838234	1.03261926601033	1.3	0.1
0.65	0.65	0.5	0.05	1	1	alldata	TRUE	FALSE	0.889454955816521	0.91707231583891	1.03104975675473	1	0.1
0.8	0.65	0.5	0.05	1	1	alldata	TRUE	FALSE	0.890657095027978	0.917072421202535	1.02965824481949	0.8125	0.1
0.95	0.65	0.5	0.05	1	1	alldata	TRUE	FALSE	0.89173407550915	0.917072542633608	1.02841482435219	0.684210526315789	0.1
0.05	0.8	0.5	0.05	1	1	alldata	TRUE	FALSE	0.87653299226856	0.917070989295267	1.04624811317346	16	0.1
0.2	0.8	0.5	0.05	1	1	alldata	TRUE	FALSE	0.879140151512909	0.917071277590249	1.04314571005779	4	0.1
0.35	0.8	0.5	0.05	1	1	alldata	TRUE	FALSE	0.881354767060061	0.917071516130035	1.04052482655664	2.28571428571429	0.1
0.5	0.8	0.5	0.05	1	1	alldata	TRUE	FALSE	0.883277596032645	0.917071695281926	1.03825988500226	1.6	0.1
0.65	0.8	0.5	0.05	1	1	alldata	TRUE	FALSE	0.884969665208482	0.917071858861772	1.03627490852551	1.23076923076923	0.1
0.8	0.8	0.5	0.05	1	1	alldata	TRUE	FALSE	0.886473517205384	0.917071985203421	1.03451706949408	1	0.1
0.95	0.8	0.5	0.05	1	1	alldata	TRUE	FALSE	0.887825097555046	0.91707212481914	1.03294232990781	0.842105263157895	0.1
0.05	0.95	0.5	0.05	1	1	alldata	TRUE	FALSE	0.869930632242195	0.917070295838026	1.0541878419367	19	0.1
0.2	0.95	0.5	0.05	1	1	alldata	TRUE	FALSE	0.873053429170483	0.917070649605263	1.05041755631909	4.75	0.1
0.35	0.95	0.5	0.05	1	1	alldata	TRUE	FALSE	0.875715275668016	0.91707092998426	1.04722500048283	2.71428571428571	0.1
0.5	0.95	0.5	0.05	1	1	alldata	TRUE	FALSE	0.878032142620134	0.917071141904883	1.04446192501365	1.9	0.1
0.65	0.95	0.5	0.05	1	1	alldata	TRUE	FALSE	0.880074497385498	0.917071336590444	1.0420383039332	1.46153846153846	0.1
0.8	0.95	0.5	0.05	1	1	alldata	TRUE	FALSE	0.881892164995227	0.91707148791492	1.03989073076739	1.1875	0.1
0.95	0.95	0.5	0.05	1	1	alldata	TRUE	FALSE	0.88352120775668	0.917071649131722	1.03797355522481	1	0.1
0.05	0.05	0.65	0.05	1	1	alldata	TRUE	FALSE	0.904204743599983	0.917074249518202	1.01423295554387	1	0.0769230769230769
0.2	0.05	0.65	0.05	1	1	alldata	TRUE	FALSE	0.904470393443041	0.917074242282737	1.0139350596007	0.25	0.0769230769230769
0.35	0.05	0.65	0.05	1	1	alldata	TRUE	FALSE	0.904709803953095	0.917074369495222	1.01366688576613	0.142857142857143	0.0769230769230769
0.5	0.05	0.65	0.05	1	1	alldata	TRUE	FALSE	0.904928453538919	0.917074416601022	1.01342201476216	0.1	0.0769230769230769
0.65	0.05	0.65	0.05	1	1	alldata	TRUE	FALSE	0.905129876213117	0.917074454519856	1.01319653523836	0.0769230769230769	0.0769230769230769
0.8	0.05	0.65	0.05	1	1	alldata	TRUE	FALSE	0.905316542906912	0.917074493345219	1.01298766771736	0.0625	0.0769230769230769
0.95	0.05	0.65	0.05	1	1	alldata	TRUE	FALSE	0.905490418532266	0.917074511830902	1.01279317048701	0.0526315789473684	0.0769230769230769
0.05	0.2	0.65	0.05	1	1	alldata	TRUE	FALSE	0.902779556825186	0.917074058354418	1.0158338781834	4	0.0769230769230769
0.2	0.2	0.65	0.05	1	1	alldata	TRUE	FALSE	0.903131599069478	0.917074140569011	1.01543799543045	1	0.0769230769230769
0.35	0.2	0.65	0.05	1	1	alldata	TRUE	FALSE	0.903446500107843	0.917074202567556	1.01508412779073	0.571428571428572	0.0769230769230769
0.5	0.2	0.65	0.05	1	1	alldata	TRUE	FALSE	0.903732400932605	0.917074236442366	1.01476303770452	0.4	0.0769230769230769
0.65	0.2	0.65	0.05	1	1	alldata	TRUE	FALSE	0.903994371685464	0.917074295779389	1.01446903266614	0.307692307692308	0.0769230769230769
0.8	0.2	0.65	0.05	1	1	alldata	TRUE	FALSE	0.904236089570788	0.917074344294871	1.01419790126954	0.25	0.0769230769230769
0.95	0.2	0.65	0.05	1	1	alldata	TRUE	FALSE	0.904460215287876	0.917074367193264	1.01394660781334	0.210526315789474	0.0769230769230769
0.05	0.35	0.65	0.05	1	1	alldata	TRUE	FALSE	0.901047023622951	0.917073874082979	1.01778691903957	7	0.0769230769230769
0.2	0.35	0.65	0.05	1	1	alldata	TRUE	FALSE	0.901508103249067	0.917073953223484	1.0172664559734	1.75	0.0769230769230769
0.35	0.35	0.65	0.05	1	1	alldata	TRUE	FALSE	0.901917878694612	0.917074016686962	1.01680434366628	1	0.0769230769230769
0.5	0.35	0.65	0.05	1	1	alldata	TRUE	FALSE	0.902287855999625	0.917074070562589	1.0163874693255	0.7	0.0769230769230769
0.65	0.35	0.65	0.05	1	1	alldata	TRUE	FALSE	0.902643101917189	0.917074079472536	1.01598746783163	0.538461538461539	0.0769230769230769
0.8	0.35	0.65	0.05	1	1	alldata	TRUE	FALSE	0.902952829751949	0.917074180812328	1.01563907946804	0.4375	0.0769230769230769
0.95	0.35	0.65	0.05	1	1	alldata	TRUE	FALSE	0.9032388805801	0.917074208725323	1.01531746301304	0.368421052631579	0.0769230769230769
0.05	0.5	0.65	0.05	1	1	alldata	TRUE	FALSE	0.899015742509326	0.917073652287771	1.02008631097832	10	0.0769230769230769
0.2	0.5	0.65	0.05	1	1	alldata	TRUE	FALSE	0.899611190440193	0.917073740824137	1.019411219613	2.5	0.0769230769230769
0.35	0.5	0.65	0.05	1	1	alldata	TRUE	FALSE	0.900137391821733	0.917073806986558	1.01881536676368	1.42857142857143	0.0769230769230769
0.5	0.5	0.65	0.05	1	1	alldata	TRUE	FALSE	0.900610364948711	0.917073870604045	1.018280386609	1	0.0769230769230769
0.65	0.5	0.65	0.05	1	1	alldata	TRUE	FALSE	0.90103975234041	0.917073924211284	1.01779518809156	0.769230769230769	0.0769230769230769
0.8	0.5	0.65	0.05	1	1	alldata	TRUE	FALSE	0.901432608210356	0.91707400120052	1.01735170532739	0.625	0.0769230769230769
0.95	0.5	0.65	0.05	1	1	alldata	TRUE	FALSE	0.901794018574682	0.917074034818929	1.01694402039658	0.526315789473684	0.0769230769230769
0.05	0.65	0.65	0.05	1	1	alldata	TRUE	FALSE	0.896647069935663	0.917073404969544	1.02278079717067	13	0.0769230769230769
0.2	0.65	0.65	0.05	1	1	alldata	TRUE	FALSE	0.897402699949558	0.917073505050903	1.02191970795547	3.25	0.0769230769230769
0.35	0.65	0.65	0.05	1	1	alldata	TRUE	FALSE	0.898067837491869	0.917073594164752	1.02116294101564	1.85714285714286	0.0769230769230769
0.5	0.65	0.65	0.05	1	1	alldata	TRUE	FALSE	0.898663412908021	0.917073648832771	1.02048624174559	1.3	0.0769230769230769
0.65	0.65	0.65	0.05	1	1	alldata	TRUE	FALSE	0.89920244928865	0.917073724495709	1.01987458466244	1	0.0769230769230769
0.8	0.65	0.65	0.05	1	1	alldata	TRUE	FALSE	0.899693875872644	0.917073803531773	1.0193176013811	0.8125	0.0769230769230769
0.95	0.65	0.65	0.05	1	1	alldata	TRUE	FALSE	0.900144909233323	0.917073843649562	1.01880689902547	0.684210526315789	0.0769230769230769
0.05	0.8	0.65	0.05	1	1	alldata	TRUE	FALSE	0.893947089107846	0.917073129389237	1.02586958508302	16	0.0769230769230769
0.2	0.8	0.65	0.05	1	1	alldata	TRUE	FALSE	0.894885626602779	0.917073243703285	1.02479380206914	4	0.0769230769230769
0.35	0.8	0.65	0.05	1	1	alldata	TRUE	FALSE	0.895709891483529	0.917073348501791	1.0238508664707	2.28571428571429	0.0769230769230769
0.5	0.8	0.65	0.05	1	1	alldata	TRUE	FALSE	0.896441902165879	0.9170734054213	1.0230148805021	1.6	0.0769230769230769
0.65	0.8	0.65	0.05	1	1	alldata	TRUE	FALSE	0.897107195198267	0.917073500962053	1.02225632106247	1.23076923076923	0.0769230769230769
0.8	0.8	0.65	0.05	1	1	alldata	TRUE	FALSE	0.897712697536106	0.917073585612213	1.0215669090225	1	0.0769230769230769
0.95	0.8	0.65	0.05	1	1	alldata	TRUE	FALSE	0.898267034935989	0.91707363314327	1.02093653387672	0.842105263157895	0.0769230769230769
0.05	0.95	0.65	0.05	1	1	alldata	TRUE	FALSE	0.890934413400182	0.917072821884627	1.02933819604598	19	0.0769230769230769
0.2	0.95	0.65	0.05	1	1	alldata	TRUE	FALSE	0.892073097422947	0.917072953547639	1.02802444799301	4.75	0.0769230769230769
0.35	0.95	0.65	0.05	1	1	alldata	TRUE	FALSE	0.893072510033062	0.91707307551285	1.02687415099016	2.71428571428571	0.0769230769230769
0.5	0.95	0.65	0.05	1	1	alldata	TRUE	FALSE	0.893964663533012	0.91707313795653	1.02584942712634	1.9	0.0769230769230769
0.65	0.95	0.65	0.05	1	1	alldata	TRUE	FALSE	0.894769573149474	0.91707325242292	1.02492672967738	1.46153846153846	0.0769230769230769
0.8	0.95	0.65	0.05	1	1	alldata	TRUE	FALSE	0.895501179853697	0.917073344939864	1.02408948817878	1.1875	0.0769230769230769
0.95	0.95	0.65	0.05	1	1	alldata	TRUE	FALSE	0.896170385509797	0.91707340093786	1.02332482278598	1	0.0769230769230769
0.05	0.05	0.8	0.05	1	1	alldata	TRUE	FALSE	0.906328358583069	0.917074791637852	1.01185710780537	1	0.0625
0.2	0.05	0.8	0.05	1	1	alldata	TRUE	FALSE	0.906475591906775	0.917074829985393	1.01169280030621	0.25	0.0625
0.35	0.05	0.8	0.05	1	1	alldata	TRUE	FALSE	0.906610750439543	0.917074862439477	1.01154201182245	0.142857142857143	0.0625
