"Bacteria;Firmicutes;Bacilli"	"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Chloroflexi;Anaerolineae"	"Bacteria;Cyanobacteria;Cyanobacteriia"
"16S-A-C11-L5_e0050-A-3-5-A-C11"	893	1242	1944	828	152	36	6	0	0	0	0	0
"16S-A-C11-L6_e0050-B-3-6-A-C11"	6869	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C11-L7_e0050-8-7-A-C11"	972	2272	4591	1055	166	117	11	0	0	0	0	0
"16S-A-C12-L0_e0049-5-0-A-C12"	9933	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C12-L1_e0049-8-1-A-C12"	1	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C12-L2_e0050-A-5-2-A-C12"	1745	2627	7076	1691	177	95	33	0	0	0	0	0
"16S-A-C12-L3_e0050-B-5-3-A-C12"	14475	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C12-L4_e0049-3-4-A-C12"	9779	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C12-L5_e0050-A-3-5-A-C12"	379	2393	5215	1708	232	123	11	0	0	0	0	0
"16S-A-C12-L6_e0050-B-3-6-A-C12"	7338	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C12-L7_e0050-8-7-A-C12"	1445	2523	3529	1548	195	133	14	0	0	0	0	0
"16S-A-C2-L0_e0049-5-0-A-C2"	11709	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C2-L1_e0049-8-1-A-C2"	11702	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C2-L2_e0050-A-5-2-A-C2"	1792	7150	7860	2949	273	190	32	0	0	0	0	0
"16S-A-C2-L3_e0050-B-5-3-A-C2"	603	3792	8403	4299	0	154	20	3	0	0	0	0
"16S-A-C2-L4_e0049-3-4-A-C2"	9093	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C2-L5_e0050-A-3-5-A-C2"	1918	3924	7084	3072	430	124	29	0	0	0	0	0
"16S-A-C2-L6_e0050-B-3-6-A-C2"	1681	3122	4704	2765	0	68	61	8	0	0	0	0
"16S-A-C2-L7_e0050-8-7-A-C2"	1259	2742	3083	1275	309	116	14	0	0	0	0	0
"16S-A-C3-L0_e0049-5-0-A-C3"	11753	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C3-L1_e0049-8-1-A-C3"	12635	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C3-L2_e0050-A-5-2-A-C3"	2625	5403	13200	3485	18	228	49	2	0	0	0	0
"16S-A-C3-L3_e0050-B-5-3-A-C3"	2852	4660	7147	4421	16	84	71	11	0	0	0	0
"16S-A-C3-L4_e0049-3-4-A-C3"	7583	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C3-L5_e0050-A-3-5-A-C3"	1652	2832	5388	1577	271	97	21	0	0	0	0	0
"16S-A-C3-L6_e0050-B-3-6-A-C3"	1432	2431	3632	2079	15	45	44	14	0	0	0	0
"16S-A-C3-L7_e0050-8-7-A-C3"	1024	2393	4456	1055	7	128	8	0	0	0	0	0
"16S-A-C4-L0_e0049-5-0-A-C4"	49	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C4-L1_e0049-8-1-A-C4"	415	4	0	0	0	0	0	0	0	0	0	0
"16S-A-C4-L2_e0050-A-5-2-A-C4"	74	15	0	0	0	0	0	0	0	12	0	0
"16S-A-C4-L3_e0050-B-5-3-A-C4"	52	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C4-L4_e0049-3-4-A-C4"	83	3	0	0	0	0	0	0	0	0	0	0
"16S-A-C4-L5_e0050-A-3-5-A-C4"	801	3441	9249	3252	325	172	32	2	0	0	0	0
"16S-A-C4-L6_e0050-B-3-6-A-C4"	257	8	4	0	0	0	0	0	0	2	0	0
"16S-A-C5-L0_e0049-5-0-A-C5"	12650	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C5-L1_e0049-8-1-A-C5"	8074	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C5-L2_e0050-A-5-2-A-C5"	2707	5820	9361	3570	525	262	63	0	0	0	0	0
"16S-A-C5-L3_e0050-B-5-3-A-C5"	4749	7216	9267	3631	625	211	82	0	0	0	0	0
"16S-A-C5-L4_e0049-3-4-A-C5"	7342	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C5-L5_e0050-A-3-5-A-C5"	1350	2944	5274	1932	486	154	30	0	0	0	0	0
"16S-A-C5-L6_e0050-B-3-6-A-C5"	1360	2087	3620	1372	348	103	29	0	0	0	0	0
"16S-A-C5-L7_e0050-8-7-A-C5"	161	3594	5222	2004	173	362	10	0	0	0	0	0
"16S-A-C6-L0_e0049-5-0-A-C6"	7638	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C6-L1_e0049-8-1-A-C6"	5484	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C6-L2_e0050-A-5-2-A-C6"	1830	3035	6261	2132	259	120	32	0	0	0	0	0
"16S-A-C6-L3_e0050-B-5-3-A-C6"	1550	3098	5404	1545	34	72	19	0	0	0	0	0
"16S-A-C6-L4_e0049-3-4-A-C6"	19	0	0	0	0	0	0	0	0	0	0	0
