"Bacteria;Firmicutes;Bacilli;Lactobacillales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales"	"Bacteria;Firmicutes;Clostridia;Lachnospirales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales"	"Bacteria;Firmicutes;Clostridia;Eubacteriales"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales"	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales"	"Bacteria;Firmicutes;Clostridia;Oscillospirales"	"Bacteria;Firmicutes;Bacilli;Bacillales"	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales"	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales"	"Bacteria;Firmicutes;Bacilli;Staphylococcales"	"Bacteria;Firmicutes;Bacilli;Thermicanales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales"	"Bacteria;Chloroflexi;Anaerolineae;SBR1031"	"Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales"	"Bacteria;Firmicutes;Clostridia;Clostridiales"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales"	"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast"	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales"
"16S-A-A5-L4_e0049-3-4-A-A5"	4763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A5-L5_e0050-A-3-5-A-A5"	5919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A5-L6_e0050-B-3-6-A-A5"	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L0_e0049-5-0-A-A6"	10740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L1_e0049-8-1-A-A6"	3892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L2_e0050-A-5-2-A-A6"	11052	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L3_e0050-B-5-3-A-A6"	3027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L4_e0049-3-4-A-A6"	3920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L5_e0050-A-3-5-A-A6"	8226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A6-L6_e0050-B-3-6-A-A6"	4991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L0_e0049-5-0-A-A7"	10890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L1_e0049-8-1-A-A7"	2125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L2_e0050-A-5-2-A-A7"	12294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L3_e0050-B-5-3-A-A7"	12587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L4_e0049-3-4-A-A7"	4115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L5_e0050-A-3-5-A-A7"	8858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A7-L6_e0050-B-3-6-A-A7"	9727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L0_e0049-5-0-A-A8"	81	6	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L2_e0050-A-5-2-A-A8"	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L3_e0050-B-5-3-A-A8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L4_e0049-3-4-A-A8"	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L5_e0050-A-3-5-A-A8"	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L6_e0050-B-3-6-A-A8"	4	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A8-L7_e0050-8-7-A-A8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A9-L0_e0049-5-0-A-A9"	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A9-L2_e0050-A-5-2-A-A9"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A9-L3_e0050-B-5-3-A-A9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A9-L4_e0049-3-4-A-A9"	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-A9-L6_e0050-B-3-6-A-A9"	6	3	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L0_e0049-5-0-A-B1"	12727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L1_e0049-8-1-A-B1"	12237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L2_e0050-A-5-2-A-B1"	1742	5072	7462	2676	1019	366	94	208	0	26	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L3_e0050-B-5-3-A-B1"	1073	4324	9448	4005	724	29	0	108	1251	539	0	34	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L4_e0049-3-4-A-B1"	10619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L5_e0050-A-3-5-A-B1"	412	3418	6293	2416	590	208	311	146	0	7	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L6_e0050-B-3-6-A-B1"	1065	2447	4813	2219	889	42	0	93	395	308	0	48	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B1-L7_e0050-8-7-A-B1"	200	2065	4287	1606	887	11	193	330	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L0_e0049-5-0-A-B10"	12844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L1_e0049-8-1-A-B10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L2_e0050-A-5-2-A-B10"	1866	3153	7114	1879	577	359	239	133	0	11	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L3_e0050-B-5-3-A-B10"	12854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L4_e0049-3-4-A-B10"	9811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L5_e0050-A-3-5-A-B10"	740	1460	2609	995	410	108	43	116	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L6_e0050-B-3-6-A-B10"	6514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B10-L7_e0050-8-7-A-B10"	1196	2002	3672	1058	484	141	255	144	0	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L0_e0049-5-0-A-B11"	9958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L2_e0050-A-5-2-A-B11"	871	2058	4957	1281	402	254	51	79	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L3_e0050-B-5-3-A-B11"	9126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L4_e0049-3-4-A-B11"	6506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L5_e0050-A-3-5-A-B11"	466	823	1455	548	211	82	62	56	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L6_e0050-B-3-6-A-B11"	7525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B11-L7_e0050-8-7-A-B11"	59	1294	4808	1578	1206	28	85	253	0	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L0_e0049-5-0-A-B12"	15444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L2_e0050-A-5-2-A-B12"	742	3579	8037	1749	599	202	141	129	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L3_e0050-B-5-3-A-B12"	18837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L4_e0049-3-4-A-B12"	10624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L5_e0050-A-3-5-A-B12"	1597	2496	4822	1597	1032	325	397	130	0	8	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L6_e0050-B-3-6-A-B12"	3952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B12-L7_e0050-8-7-A-B12"	726	2038	5858	1214	732	133	7	121	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L0_e0049-5-0-A-B2"	12338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L1_e0049-8-1-A-B2"	8356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L2_e0050-A-5-2-A-B2"	2190	4338	8307	2738	974	362	619	173	0	10	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L3_e0050-B-5-3-A-B2"	821	3536	5408	2728	858	49	0	76	901	363	0	43	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L4_e0049-3-4-A-B2"	9032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L5_e0050-A-3-5-A-B2"	1903	2994	8179	2671	1280	384	338	145	0	9	0	34	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L6_e0050-B-3-6-A-B2"	1580	2636	5245	2470	720	55	0	111	448	411	0	65	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
