"Bacteria;Firmicutes"	"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Chloroflexi"	"Bacteria;Cyanobacteria"
"16S-A-C1-L2_e0050-A-5-2-A-C1"	3867	5885	9876	0	19	0	0	0
"16S-A-C1-L3_e0050-B-5-3-A-C1"	6193	4083	8777	0	50	10	0	0
"16S-A-C1-L4_e0049-3-4-A-C1"	7138	0	0	0	0	0	0	0
"16S-A-C1-L5_e0050-A-3-5-A-C1"	3584	4544	7459	633	25	4	0	0
"16S-A-C1-L6_e0050-B-3-6-A-C1"	4370	2773	5596	0	58	6	0	0
"16S-A-C1-L7_e0050-8-7-A-C1"	1573	2377	6048	6	5	0	0	0
"16S-A-C10-L0_e0049-5-0-A-C10"	13279	0	0	0	0	0	0	0
"16S-A-C10-L2_e0050-A-5-2-A-C10"	5112	5122	8675	266	57	0	0	0
"16S-A-C10-L3_e0050-B-5-3-A-C10"	14507	0	0	0	0	0	0	0
"16S-A-C10-L4_e0049-3-4-A-C10"	8321	0	0	0	0	0	0	0
"16S-A-C10-L5_e0050-A-3-5-A-C10"	1939	1301	2231	192	7	0	0	0
"16S-A-C10-L6_e0050-B-3-6-A-C10"	6381	0	0	0	0	0	0	0
"16S-A-C10-L7_e0050-8-7-A-C10"	2499	1950	2798	174	15	0	0	0
"16S-A-C11-L0_e0049-5-0-A-C11"	10657	0	0	0	0	0	0	0
"16S-A-C11-L2_e0050-A-5-2-A-C11"	4362	3904	5892	146	34	0	0	0
"16S-A-C11-L3_e0050-B-5-3-A-C11"	12451	0	0	0	0	0	0	0
"16S-A-C11-L4_e0049-3-4-A-C11"	6870	0	0	0	0	0	0	0
"16S-A-C11-L5_e0050-A-3-5-A-C11"	1757	1242	1944	152	6	0	0	0
"16S-A-C11-L6_e0050-B-3-6-A-C11"	6869	0	0	0	0	0	0	0
"16S-A-C11-L7_e0050-8-7-A-C11"	2144	2272	4591	166	11	0	0	0
