"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Firmicutes"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Cyanobacteria"	"Bacteria;Planctomycetota"	"Bacteria;Fusobacteriota"
"16S-C-D12-L3_e0017-3-C-D12"	45880	44872	54232	176	18	0	0	0	0
"16S-C-D2-L0_e0017-0-C-D2"	20203	31587	35124	104	354	0	0	0	0
"16S-C-D2-L1_e0017-1-C-D2"	67093	62577	46383	176	67	0	0	0	0
"16S-C-D2-L2_e0017-2-C-D2"	21473	31257	28386	77	153	0	0	0	0
"16S-C-D2-L3_e0017-3-C-D2"	49453	43775	46744	116	91	0	0	0	0
"16S-C-D3-L0_e0017-0-C-D3"	41259	64606	68510	280	402	0	0	0	0
"16S-C-D3-L1_e0017-1-C-D3"	52267	44791	58654	289	112	39	0	0	0
"16S-C-D3-L2_e0017-2-C-D3"	21945	29027	31299	103	172	0	0	0	0
"16S-C-D3-L3_e0017-3-C-D3"	43515	47343	55157	239	77	116	0	0	0
"16S-C-D4-L0_e0017-0-C-D4"	38138	79370	67315	237	317	0	0	0	0
"16S-C-D4-L1_e0017-1-C-D4"	47034	47271	51932	253	124	0	0	0	0
"16S-C-D4-L2_e0017-2-C-D4"	15571	24700	32515	109	99	0	0	0	0
"16S-C-D4-L3_e0017-3-C-D4"	45344	58257	66363	220	81	0	0	0	0
"16S-C-D5-L0_e0017-0-C-D5"	17098	37268	31862	73	147	0	0	0	0
"16S-C-D5-L1_e0017-1-C-D5"	14501	14287	16796	58	44	0	0	0	0
"16S-C-D5-L2_e0017-2-C-D5"	5687	12139	15089	41	45	0	0	0	0
"16S-C-D5-L3_e0017-3-C-D5"	10664	12024	13930	45	42	0	0	0	0
"16S-C-D6-L0_e0017-0-C-D6"	39114	61368	44445	132	242	0	0	0	0
"16S-C-D6-L1_e0017-1-C-D6"	43941	40040	46086	244	131	0	0	0	0
"16S-C-D6-L2_e0017-2-C-D6"	17429	29384	29688	125	153	0	0	0	0
"16S-C-D6-L3_e0017-3-C-D6"	38799	39472	49503	170	69	0	0	0	0
"16S-C-D7-L0_e0017-0-C-D7"	18952	47348	44166	66	238	0	0	0	0
"16S-C-D7-L1_e0017-1-C-D7"	53730	53769	54121	206	25	0	0	0	0
