"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Firmicutes;Bacilli"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Cyanobacteria;Cyanobacteriia"	"Bacteria;Cyanobacteria;Vampirivibrionia"	"Bacteria;Actinobacteriota;Acidimicrobiia"	"Bacteria;Planctomycetota;Phycisphaerae"	"Bacteria;Fusobacteriota;Fusobacteriia"
"16S-C-D4-L0_e0017-0-C-D4"	38138	79370	38023	26960	2332	237	317	0	0	0	0	0	0	0	0
"16S-C-D4-L1_e0017-1-C-D4"	47034	47271	23560	26677	1695	253	124	0	0	0	0	0	0	0	0
"16S-C-D4-L2_e0017-2-C-D4"	15571	24700	15135	16938	442	109	99	0	0	0	0	0	0	0	0
"16S-C-D4-L3_e0017-3-C-D4"	45344	58257	26305	38262	1796	220	81	0	0	0	0	0	0	0	0
"16S-C-D5-L0_e0017-0-C-D5"	17098	37268	20692	9862	1308	73	147	0	0	0	0	0	0	0	0
"16S-C-D5-L1_e0017-1-C-D5"	14501	14287	7577	8714	505	58	44	0	0	0	0	0	0	0	0
"16S-C-D5-L2_e0017-2-C-D5"	5687	12139	9193	5519	377	41	45	0	0	0	0	0	0	0	0
"16S-C-D5-L3_e0017-3-C-D5"	10664	12024	6494	7122	314	45	42	0	0	0	0	0	0	0	0
"16S-C-D6-L0_e0017-0-C-D6"	39114	61368	29479	13089	1877	132	239	3	0	0	0	0	0	0	0
"16S-C-D6-L1_e0017-1-C-D6"	43941	40040	22236	22283	1567	244	131	0	0	0	0	0	0	0	0
"16S-C-D6-L2_e0017-2-C-D6"	17429	29384	18663	10411	614	125	147	6	0	0	0	0	0	0	0
"16S-C-D6-L3_e0017-3-C-D6"	38799	39472	19703	28440	1360	170	69	0	0	0	0	0	0	0	0
"16S-C-D7-L0_e0017-0-C-D7"	18952	47348	27871	15167	1128	66	238	0	0	0	0	0	0	0	0
