sample reads.in reads.out
16S-C-G9-L3_e0017-3-C-G9.fastq.gz 184601 177137
16S-C-H1-L0_e0017-0-C-H1.fastq.gz 207 189
16S-C-H1-L1_e0017-1-C-H1.fastq.gz 53213 49185
16S-C-H1-L2_e0017-2-C-H1.fastq.gz 960 899
16S-C-H10-L0_e0017-0-C-H10.fastq.gz 242733 230551
16S-C-H10-L1_e0017-1-C-H10.fastq.gz 281242 266618
16S-C-H10-L2_e0017-2-C-H10.fastq.gz 172800 165333
16S-C-H10-L3_e0017-3-C-H10.fastq.gz 162392 154886
16S-C-H11-L0_e0017-0-C-H11.fastq.gz 256143 245097
16S-C-H11-L1_e0017-1-C-H11.fastq.gz 309018 295731
16S-C-H11-L2_e0017-2-C-H11.fastq.gz 154443 148718
16S-C-H11-L3_e0017-3-C-H11.fastq.gz 220599 212004
16S-C-H12-L0_e0017-0-C-H12.fastq.gz 122 115
16S-C-H12-L1_e0017-1-C-H12.fastq.gz 196376 187727
16S-C-H12-L2_e0017-2-C-H12.fastq.gz 24832 23918
16S-C-H12-L3_e0017-3-C-H12.fastq.gz 124 120
16S-C-H2-L0_e0017-0-C-H2.fastq.gz 231430 218610
16S-C-H2-L1_e0017-1-C-H2.fastq.gz 265630 250771
16S-C-H2-L2_e0017-2-C-H2.fastq.gz 155811 147531
16S-C-H2-L3_e0017-3-C-H2.fastq.gz 140358 133693
16S-C-H3-L0_e0017-0-C-H3.fastq.gz 290615 277891
16S-C-H3-L1_e0017-1-C-H3.fastq.gz 293100 279825
16S-C-H3-L2_e0017-2-C-H3.fastq.gz 193516 186055
16S-C-H3-L3_e0017-3-C-H3.fastq.gz 205085 196613
16S-C-H4-L0_e0017-0-C-H4.fastq.gz 238751 229309
16S-C-H4-L1_e0017-1-C-H4.fastq.gz 281506 269887
16S-C-H4-L2_e0017-2-C-H4.fastq.gz 142114 137151
16S-C-H4-L3_e0017-3-C-H4.fastq.gz 87982 84657
16S-C-H5-L0_e0017-0-C-H5.fastq.gz 231068 218038
16S-C-H5-L1_e0017-1-C-H5.fastq.gz 542824 511382
16S-C-H5-L2_e0017-2-C-H5.fastq.gz 111336 105488
16S-C-H5-L3_e0017-3-C-H5.fastq.gz 376726 357291
16S-C-H6-L0_e0017-0-C-H6.fastq.gz 340320 319534
16S-C-H6-L1_e0017-1-C-H6.fastq.gz 400025 375291
16S-C-H6-L3_e0017-3-C-H6.fastq.gz 184828 174180
16S-C-H7-L0_e0017-0-C-H7.fastq.gz 398159 381089
16S-C-H7-L1_e0017-1-C-H7.fastq.gz 322480 308797
16S-C-H7-L2_e0017-2-C-H7.fastq.gz 141908 136630
16S-C-H7-L3_e0017-3-C-H7.fastq.gz 185579 178361
16S-C-H8-L0_e0017-0-C-H8.fastq.gz 199083 189743
16S-C-H8-L1_e0017-1-C-H8.fastq.gz 224217 213523
16S-C-H8-L2_e0017-2-C-H8.fastq.gz 162725 155938
16S-C-H8-L3_e0017-3-C-H8.fastq.gz 156605 149777
16S-C-H9-L0_e0017-0-C-H9.fastq.gz 222766 211699
16S-C-H9-L1_e0017-1-C-H9.fastq.gz 245917 233713
16S-C-H9-L2_e0017-2-C-H9.fastq.gz 107208 102241
16S-C-H9-L3_e0017-3-C-H9.fastq.gz 154843 147585
16S-D-A1-L1_e0017-1-D-A1.fastq.gz 12081 11468
16S-D-A10-L1_e0017-1-D-A10.fastq.gz 233821 223104
16S-D-A11-L1_e0017-1-D-A11.fastq.gz 204524 194595
16S-D-A12-L1_e0017-1-D-A12.fastq.gz 309 292
16S-D-A2-L1_e0017-1-D-A2.fastq.gz 253279 240608
16S-D-A3-L1_e0017-1-D-A3.fastq.gz 274859 261509
16S-D-A4-L1_e0017-1-D-A4.fastq.gz 278074 263329
16S-D-A5-L1_e0017-1-D-A5.fastq.gz 289889 275209
16S-D-A6-L1_e0017-1-D-A6.fastq.gz 254865 241648
16S-D-A7-L1_e0017-1-D-A7.fastq.gz 246777 237086
16S-D-A8-L1_e0017-1-D-A8.fastq.gz 251938 239955
16S-D-A9-L1_e0017-1-D-A9.fastq.gz 244967 233753
16S-D-B1-L1_e0017-1-D-B1.fastq.gz 274654 260935
16S-D-B10-L1_e0017-1-D-B10.fastq.gz 248800 237510
16S-D-B11-L1_e0017-1-D-B11.fastq.gz 262376 250122
16S-D-B12-L1_e0017-1-D-B12.fastq.gz 205052 195060
16S-D-B2-L1_e0017-1-D-B2.fastq.gz 255352 241124
16S-D-B3-L1_e0017-1-D-B3.fastq.gz 269439 257683
16S-D-B4-L1_e0017-1-D-B4.fastq.gz 301029 285401
16S-D-B5-L1_e0017-1-D-B5.fastq.gz 238596 228259
16S-D-B6-L1_e0017-1-D-B6.fastq.gz 302153 289675
